Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Estonia,1733,60,747,926,8,3.46,43.1,8.03,1326539,1306.0,1807,52,2.88
Eswatini,163,2,14,147,4,1.23,8.59,14.29,1160164,140.0,225,54,24.0
Ethiopia,210,5,97,108,16,2.38,46.19,5.15,114963583,2.0,433,535,123.56
Fiji,18,0,14,4,0,0.0,77.78,0.0,896444,20.0,18,0,0.0
Finland,5880,265,4000,1615,142,4.51,68.03,6.62,5540718,1061.0,6537,239,3.66
France,176782,26313,56148,94321,580,14.88,31.76,46.86,68136441,2595.0,182354,4569,2.51
Gabon,661,8,110,543,41,1.21,16.64,7.27,2225728,297.0,1728,885,51.22
Gambia,20,1,9,10,0,5.0,45.0,11.11,2416664,8.0,25,0,0.0
Georgia,626,10,297,319,3,1.6,47.44,3.37,3989175,157.0,723,23,3.18
Germany,171324,7549,143300,20475,736,4.41,83.64,5.27,166803158,1027.0,179710,3212,1.79
Ghana,4263,22,378,3863,251,0.52,8.87,5.82,31072945,137.0,6486,1130,17.42
Greece,2710,151,1374,1185,19,5.57,50.7,10.99,10423056,260.0,2874,35,1.22
Grenada,21,0,13,8,0,0.0,61.9,0.0,112519,187.0,22,1,4.55
Guatemala,967,24,104,839,67,2.48,10.75,23.08,17915567,54.0,2743,1864,67.95
Guinea,2042,11,698,1333,33,0.54,34.18,1.58,13132792,155.0,3067,589,19.2
Guinea-Bissau,641,3,25,613,47,0.47,3.9,12.0,1967998,326.0,1114,142,12.75
Guyana,94,10,35,49,0,10.64,37.23,28.57,786559,120.0,127,23,18.11
Haiti,151,12,17,122,5,7.95,11.26,70.59,11402533,13.0,812,772,95.07
Holy See,12,0,2,10,0,0.0,16.67,0.0,809,14833.0,12,0,0.0
Honduras,1830,108,195,1527,59,5.9,10.66,55.38,9904608,185.0,3477,1275,36.67
Hungary,3213,405,904,1904,35,12.61,28.14,44.8,9660350,333.0,3678,163,4.43
Iceland,1801,10,1773,18,0,0.56,98.45,0.56,341250,5278.0,1803,2,0.11
India,62808,2101,19301,41406,3113,3.35,30.73,10.89,1380004385,46.0,124794,48697,39.02
Indonesia,13645,959,2607,10079,533,7.03,19.11,36.79,273523621,50.0,20796,4420,21.25
Iran,106220,6589,85064,14567,1529,6.2,80.08,7.75,83992953,1265.0,131652,15016,11.41
Iraq,2679,107,1702,870,76,3.99,63.53,6.29,40222503,67.0,3964,1909,48.16
Ireland,22760,1446,17110,4204,219,6.35,75.18,8.45,4937796,4609.0,24506,370,1.51
Israel,16454,247,11376,4831,18,1.5,69.14,2.17,8655541,1901.0,16690,297,1.78
Italy,218268,30395,103031,84842,1083,13.93,47.2,29.5,120822834,1807.0,228658,3590,1.57
Jamaica,490,9,62,419,0,1.84,12.65,14.52,2961161,165.0,544,31,5.7
Japan,15663,607,5906,9150,88,3.88,37.71,10.28,252643406,62.0,16513,160,0.97
Jordan,522,9,387,126,14,1.72,74.14,2.33,10203140,51.0,700,30,4.29
Kazakhstan,4975,31,1776,3168,141,0.62,35.7,1.75,18776707,265.0,7919,2013,25.42
Kenya,649,30,207,412,28,4.62,31.9,14.49,53771300,12.0,1161,584,50.3
"Korea, South",10874,256,9610,1008,34,2.35,88.38,2.66,51269183,212.0,11165,276,2.47
Kosovo,862,28,622,212,1,3.25,72.16,4.5,1793000,481.0,1004,44,4.38
Kuwait,7623,49,2622,4952,415,0.64,34.4,1.87,4270563,1785.0,19564,5620,28.73
Kyrgyzstan,931,12,658,261,25,1.29,70.68,1.82,6524191,143.0,1350,312,23.11
Laos,19,0,13,6,0,0.0,68.42,0.0,7275556,3.0,19,0,0.0
Latvia,930,18,464,448,2,1.94,49.89,3.88,1886202,493.0,1030,34,3.3
Lebanon,809,26,234,549,13,3.21,28.92,11.11,6825442,119.0,1086,86,7.92
Lesotho,0,0,0,0,0,0.0,0.0,0.0,2142252,0.0,2,0,0.0
Liberia,199,20,79,100,0,10.05,39.7,25.32,5057677,39.0,249,24,9.64
Libya,64,3,24,37,0,4.69,37.5,12.5,6871287,9.0,72,46,63.89
Liechtenstein,82,1,55,26,0,1.22,67.07,1.82,38137,2150.0,82,0,0.0
Lithuania,1444,49,828,567,8,3.39,57.34,5.92,2722291,530.0,1604,58,3.62
Luxembourg,3877,101,3550,226,6,2.61,91.57,2.85,625976,6194.0,3981,31,0.78
MS Zaandam,9,2,0,7,0,22.22,0.0,inf,0,inf,9,0,0.0
Madagascar,193,0,101,92,0,0.0,52.33,0.0,27691019,7.0,448,250,55.8
Malawi,56,3,14,39,13,5.36,25.0,21.43,19129955,3.0,82,191,232.93
Malaysia,6589,108,4929,1552,54,1.64,74.81,2.19,32365998,204.0,7137,595,8.34
Maldives,790,3,29,758,46,0.38,3.67,10.34,540542,1461.0,1274,317,24.88
Mali,692,37,298,357,24,5.35,43.06,12.42,20250834,34.0,969,257,26.52
Malta,490,5,427,58,1,1.02,87.14,1.17,441539,1110.0,600,16,2.67
Mauritania,8,1,6,1,0,12.5,75.0,16.67,4649660,2.0,200,223,111.5
Mauritius,332,10,320,2,0,3.01,96.39,3.12,1271767,261.0,332,3,0.9
Mexico,33460,3353,21824,8283,1938,10.02,65.22,15.36,255584572,131.0,62527,22100,35.34
Moldova,4867,161,1925,2781,139,3.31,39.55,8.36,4033963,1207.0,6847,1049,15.32
Monaco,96,4,82,10,1,4.17,85.42,4.88,39244,2446.0,97,1,1.03
Mongolia,42,0,14,28,0,0.0,33.33,0.0,3278292,13.0,141,38,26.95
Montenegro,324,8,274,42,0,2.47,84.57,2.92,628062,516.0,324,0,0.0
Morocco,5910,186,2461,3263,199,3.15,41.64,7.56,36910558,160.0,7332,382,5.21
Mozambique,87,0,34,53,5,0.0,39.08,0.0,31255435,3.0,164,70,42.68
Namibia,16,0,10,6,0,0.0,62.5,0.0,2540916,6.0,19,4,21.05
Nepal,110,0,31,79,8,0.0,28.18,0.0,29136808,4.0,516,696,134.88
Netherlands,42581,5441,149,36991,289,12.78,0.35,3651.68,17474842,2437.0,45088,1240,2.75
New Zealand,1494,21,1371,102,2,1.41,91.77,1.53,4822233,310.0,1504,0,0.0
Nicaragua,16,5,7,4,0,31.25,43.75,71.43,6624554,2.0,279,480,172.04
Niger,815,45,617,153,20,5.52,75.71,7.29,24206636,34.0,937,18,1.92
Nigeria,4151,128,745,3278,239,3.08,17.95,17.18,206139587,20.0,7261,2041,28.11
North Macedonia,1622,91,1112,419,36,5.61,68.56,8.18,2083380,779.0,1921,208,10.83
Norway,8099,219,32,7848,29,2.7,0.4,684.38,5421242,1494.0,8332,90,1.08
Oman,3224,17,1068,2139,112,0.53,33.13,1.59,5106622,631.0,6794,3026,44.54
Pakistan,28736,636,7809,20291,2301,2.21,27.17,8.14,220892331,130.0,50694,13334,26.3
Panama,8282,237,4501,3544,212,2.86,54.35,5.27,4314768,1919.0,10267,2264,22.05
Papua New Guinea,8,0,8,0,0,0.0,100.0,0.0,8947027,1.0,8,0,0.0
