Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
4/13/20,1905165,125561,448422,1331182,70020,6.59,23.54,28.0,185
4/14/20,1975566,132439,473730,1369397,70401,6.7,23.98,27.96,185
4/15/20,2055748,140685,510266,1404797,80182,6.84,24.82,27.57,185
4/16/20,2152181,147963,541342,1462876,96433,6.88,25.15,27.33,185
4/17/20,2239990,156821,567515,1515654,87809,7.0,25.34,27.63,185
4/18/20,2317636,163236,591469,1562931,77647,7.04,25.52,27.6,185
4/19/20,2400787,167772,623057,1609958,83151,6.99,25.95,26.93,185
4/2/20,1013863,55834,210019,748010,0,5.51,20.71,26.59,181
4/20/20,2472109,173124,645058,1653927,1458246,7.0,26.09,26.84,185
4/21/20,2549046,180236,679905,1688905,76937,7.07,26.67,26.51,185
4/22/20,2624608,186912,710046,1727650,77750,7.12,27.05,26.32,185
4/23/20,2708403,193665,738980,1775758,83795,7.15,27.28,26.21,185
4/24/20,2795731,199997,789585,1806149,97362,7.15,28.24,25.33,185
4/25/20,2881140,206187,817405,1857548,85409,7.16,28.37,25.22,185
4/26/20,2955033,209900,845985,1899148,73894,7.1,28.63,24.81,185
4/27/20,3023722,214444,873677,1935601,68689,7.09,28.89,24.54,185
4/28/20,3097229,220801,906955,1969473,74029,7.13,29.28,24.35,185
4/29/20,3172287,227665,948425,1996197,77570,7.18,29.9,24.0,185
4/3/20,1096324,61826,225564,808934,0,5.64,20.57,27.41,181
4/30/20,3256910,233360,1013886,2009664,2160586,7.17,31.13,23.02,187
4/4/20,1176436,67996,245902,862538,0,5.78,20.9,27.65,181
4/5/20,1249743,73077,259773,916893,73307,5.85,20.79,28.13,183
4/6/20,1321436,78767,276284,966385,71693,5.96,20.91,28.51,184
4/7/20,1396438,86662,299804,1009972,75002,6.21,21.47,28.91,184
4/8/20,1480232,93354,328453,1058425,83794,6.31,22.19,28.42,184
4/9/20,1566102,100915,353739,1111448,85870,6.44,22.59,28.53,184
5/1/20,3345558,238619,1052415,2054524,1779456,7.13,31.46,22.67,187
5/10/20,4101699,282709,1408980,2410010,756145,6.89,34.35,20.06,187
5/11/20,4177502,286330,1456209,2434963,75860,6.85,34.86,19.66,187
5/12/20,4261747,291942,1493414,2476391,84265,6.85,35.04,19.55,187
5/13/20,4347018,297197,1548547,2501274,85436,6.84,35.62,19.19,188
5/14/20,4442163,302418,1587893,2551852,95146,6.81,35.75,19.05,188
5/15/20,4542347,307666,1637067,2597614,100184,6.77,36.04,18.79,188
5/16/20,4634068,311781,1693197,2629090,91721,6.73,36.54,18.41,188
5/17/20,4713620,315185,1733963,2664472,79552,6.69,36.79,18.18,188
5/18/20,4801943,318481,1786875,2696587,88323,6.63,37.21,17.82,188
5/19/20,4897492,323285,1838995,2735212,95758,6.6,37.55,17.58,188
5/2/20,3427584,243813,1093137,2090634,0,7.11,31.89,22.3,187
5/20/20,4996472,328115,1897466,2770891,1568888,6.57,37.98,17.29,188
5/21/20,5102424,332924,1948739,2820761,106056,6.52,38.19,17.08,188
5/22/20,5211156,338233,2056984,2815939,108732,6.49,39.47,16.44,188
5/23/20,5311020,342213,2112862,2855945,99864,6.44,39.78,16.2,188
5/24/20,5407613,345058,2168563,2893992,96593,6.38,40.1,15.91,188
5/25/20,5495061,346231,2231738,2917092,87820,6.3,40.61,15.51,188
5/26/20,5589626,350452,2286956,2952218,94785,6.27,40.91,15.32,188
5/27/20,5691790,355628,2350088,2986074,102164,6.25,41.29,15.13,188
5/28/20,5808946,360308,2415960,3032678,117209,6.2,41.59,14.91,188
5/29/20,5924275,364867,2493535,3065873,115329,6.16,42.09,14.63,188
5/3/20,3506729,247470,1125236,2134023,0,7.06,32.09,21.99,187
5/4/20,3583055,251537,1162724,2168794,76327,7.02,32.45,21.63,187
5/5/20,3662691,257239,1198832,2206620,79636,7.02,32.73,21.46,187
5/6/20,3756069,263855,1245413,2246801,93378,7.02,33.16,21.19,187
5/7/20,3845718,269567,1284741,2291410,91232,7.01,33.41,20.98,187
5/8/20,3938064,274898,1322050,2341116,93826,6.98,33.57,20.79,187
5/9/20,4024009,279311,1375624,2369074,85945,6.94,34.19,20.3,187
